PROJECT_ID,BUG_ID,FRAME,SLOC,MAX_FRAME,BOTSING_SUCCESSFUL,GZOLTAR_SUCCESSFUL,DEFECTIVE_STATEMENT,GREEN_TEST_CASES,RED_TEST_CASES_HUMAN,RED_TEST_CASES_BOTSING,EXAM_HUMAN,EXAM_BOTSING,EXAM_HUMAN-BOTSING,SL_HUMAN,SL_BOTSING,SL_HUMAN-BOTSING,BASE_COMPARE,CATEGORY,DESCRIPTION
Chart,4,1,46751,6,Y,Y,"org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501",409,22,5,52,32,20,0.51796977028281,0.27735009811261,0.55708601453116,"WORSE,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly."
Chart,4,2,46751,6,Y,Y,"org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501",409,22,5,52,24,28,0.51796977028281,0.27735009811261,0.55708601453116,"WORSE,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly."
Chart,4,3,46751,6,Y,Y,"org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501",409,22,4,52,30,24,0.51796977028281,0.25,0.54984141476916,"WORSE,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly."
Chart,4,4,46751,6,Y,Y,"org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501",409,22,3,52,48,31,0.51796977028281,0.21821789023599,0.54232614454664,"WORSE,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly."
Chart,4,5,46751,6,Y,Y,"org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501",409,22,5,52,31,21,0.51796977028281,0.27735009811261,0.55708601453116,"WORSE,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly."
Chart,4,6,46751,6,Y,N,"org.jfree.chart.plot$XYPlot:4493 org.jfree.chart.plot$XYPlot:4501",,,,,,,,,,,OTHER,"Cannot mock/spy class PlotOrientation in the generated test case."
Lang,1,1,2880,2,Y,Y,"org.apache.commons.lang3.math$NumberUtils:468 org.apache.commons.lang3.math$NumberUtils:471 org.apache.commons.lang3.math$NumberUtils:467",172,1,5,1,0,2,0.5,0,0.20412414523193,"EQUAL,EQUAL",NO_DEFECTIVE_FRAME,"Defective frame is not in the stack-trace."
Lang,1,2,2880,2,Y,Y,"org.apache.commons.lang3.math$NumberUtils:468 org.apache.commons.lang3.math$NumberUtils:471 org.apache.commons.lang3.math$NumberUtils:467",172,1,5,1,1,1,0.5,0.79056941504209,0.81649658092773,"EQUAL,BETTER",FAILS_AFTER_FIX,"Input should be a Long Hex number"
Lang,2,1,161,1,Y,Y,org.apache.commons.lang3$LocaleUtils:92,13,1,5,2,2,2,0.40824829046386,0.70710678118655,0.738548945876,"EQUAL,BETTER",FAILS_AFTER_FIX,"The input should contain a <code>#</code>. Interestingly all the test cases are the same."
Lang,5,1,140,1,Y,Y,"org.apache.commons.lang3$LocaleUtils:97 org.apache.commons.lang3$LocaleUtils:128",12,1,5,2,2,2,0.44721359549996,0.74535599249993,0.77459666924148,"EQUAL,BETTER",FAILS_AFTER_FIX,"Input should start with a underscore. For example <code>_GB</code>"
Lang,6,1,5033,3,N,N,org.apache.commons.lang3.text.translate$CharSequenceTranslator:95,,,,,,,,,,,OTHER,"Botsing could not reproduces"
Lang,9,4,1449,10,Y,Y,org.apache.commons.lang3.time$FastDateParser:144,157,2,5,20,0,32,0.13671718540493,0,0.073078409524187,"EQUAL,EQUAL",WRONG_STACK_TRACE,"Wrong stack-trace replication."
Lang,9,5,1449,10,Y,Y,org.apache.commons.lang3.time$FastDateParser:144,157,2,5,20,0,31,0.13671718540493,0,0.073078409524187,"EQUAL,EQUAL",WRONG_STACK_TRACE,"Wrong stack-trace replication."
Lang,12,2,98,2,Y,Y,"org.apache.commons.lang3$RandomStringUtils:230 org.apache.commons.lang3$RandomStringUtils:232 org.apache.commons.lang3$RandomStringUtils:238",8,2,5,2,3,2,0.70710678118655,0.84515425472852,0.8819171036882,"WORSE,BETTER",FAILS_AFTER_FIX,"Input should be <code>(any(Int), (String) null)</code> or <code>(any(Int), (char[]) null)</code>."
Lang,16,1,2927,1,Y,Y,org.apache.commons.lang3.math$NumberUtils:458,163,1,5,2,2,2,0.57735026918963,0.84515425472852,0.86602540378444,"EQUAL,BETTER",FAILS_AFTER_FIX,"Input should contain <code>0X</code> or <code>-0X</code>."
Lang,19,1,116,3,Y,Y,"org.apache.commons.lang3.text.translate$NumericEntityUnescaper:40 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:54 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:80 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:50 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:79",30,2,5,4,1,2,0.42640143271122,0.74535599249993,0.71713716560064,"EQUAL,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly. Input should contain a <code>&</code> followed by any invalid escape sequence."
Lang,19,2,116,3,Y,Y,"org.apache.commons.lang3.text.translate$NumericEntityUnescaper:40 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:54 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:80 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:50 org.apache.commons.lang3.text.translate$NumericEntityUnescaper:79",30,2,5,4,1,2,0.42640143271122,0.74535599249993,0.71713716560064,"EQUAL,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly. Input should contain a <code>&</code> followed by any invalid escape sequence."
Lang,27,1,2849,1,Y,Y,"org.apache.commons.lang3.math$NumberUtils:479 org.apache.commons.lang3.math$NumberUtils:489",109,1,5,16,1,1,0.70710678118655,0.91287092917528,0.92582009977255,"EQUAL,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly."
Lang,33,1,2237,1,Y,Y,org.apache.commons.lang3$ClassUtils:910,254,1,5,1,1,1,1,1,1,"EQUAL,EQUAL",EQUIVALENT,"Generated test case exposes the bug perfectly. Exception is thrown when an array containing a null element is passed into the function <code>toClass(Object[] array)</code>"
Lang,35,1,1606,2,Y,Y,"org.apache.commons.lang3$ArrayUtils:3295 org.apache.commons.lang3$ArrayUtils:3574",794,1,5,1,0,3,1,0,0.40824829046386,"EQUAL,EQUAL",WRONG_STACK_TRACE,"Wrong stack-trace replication."
Lang,35,2,1606,2,Y,Y,"org.apache.commons.lang3$ArrayUtils:3295 org.apache.commons.lang3$ArrayUtils:3574",794,1,5,1,0,3,1,0,0.40824829046386,"EQUAL,EQUAL",WRONG_STACK_TRACE,"Wrong stack-trace replication."
Lang,36,1,2708,1,Y,Y,"org.apache.commons.lang3.math$NumberUtils:491 org.apache.commons.lang3.math$NumberUtils:1387",108,2,5,2,2,2,0.81649658092773,0.91287092917528,0.93541434669349,"EQUAL,BETTER",FAILS_AFTER_FIX,"Test case fails after fix. The test cases violates one of the preconditions."
Lang,39,1,1836,2,Y,Y,org.apache.commons.lang3$StringUtils:3676,522,1,5,3,1,1,0.70710678118655,0.91287092917528,0.92582009977255,"BETTER,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly. Only test case 4 is failing after the fix, which is strange as the test case look like a test case that will expose the bug."
Lang,39,2,1836,2,Y,Y,org.apache.commons.lang3$StringUtils:3676,522,1,5,3,2,2,0.70710678118655,0.91287092917528,0.92582009977255,"BETTER,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly."
Lang,44,1,331,1,N,N,org.apache.commons.lang$NumberUtils:145,,,,,,,,,,,OTHER,"Botsing could not reproduce"
Lang,45,1,2063,1,Y,Y,org.apache.commons.lang$WordUtils:618,81,1,5,1,1,1,1,1,1,"EQUAL,EQUAL",SUPERIOR,"Test case 1 and 5 are failing after fix."
Lang,47,1,1749,1,Y,Y,"org.apache.commons.lang.text$StrBuilder:1186 org.apache.commons.lang.text$StrBuilder:1230",204,2,5,2,1,2,0.40824829046386,0.84515425472852,0.80178372573727,"EQUAL,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly."
Lang,51,1,291,1,Y,Y,org.apache.commons.lang$BooleanUtils:671,189,1,2,1,1,1,1,1,1,"EQUAL,EQUAL",EQUIVALENT,"Generated test case exposes the bug perfectly."
Lang,54,1,134,1,Y,Y,org.apache.commons.lang$LocaleUtils:114,11,1,5,2,2,2,0.57735026918963,0.84515425472852,0.86602540378444,"EQUAL,BETTER",FAILS_AFTER_FIX,"Input should contain valid locale formatted string with two adjacent underscores."
Lang,57,1,314,1,Y,Y,org.apache.commons.lang$LocaleUtils:223,0,11,5,1,1,1,1,1,1,"EQUAL,EQUAL",EQUIVALENT,"Generated test case exposes the bug perfectly."
Math,1,2,3966,2,Y,Y,"org.apache.commons.math3.fraction$Fraction:215 org.apache.commons.math3.fraction$BigFraction:306",311,2,5,9,7,6,0.5,0.91287092917528,0.85714285714286,"EQUAL,BETTER",SUPERIOR,"Generated test case exposes the bug perfectly. Test case 1, 3 and 4 fail after fix "
Math,4,1,5420,3,Y,Y,"org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116",50,2,5,6,0,22,0.26726124191242,0,0.14285714285714,"EQUAL,EQUAL",NO_DEFECTIVE_FRAME,"Defective frame and defective statement not covered."
Math,4,2,5420,3,Y,Y,"org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116",50,2,5,6,0,24,0.26726124191242,0,0.14285714285714,"EQUAL,EQUAL",NO_DEFECTIVE_FRAME,"Defective frame and defective statement not covered."
Math,4,3,5420,3,Y,Y,"org.apache.commons.math3.geometry.euclidean.threed$SubLine:113 org.apache.commons.math3.geometry.euclidean.twod$SubLine:116",50,2,5,6,7,7,0.26726124191242,0.67419986246324,0.65465367070798,"BETTER,BETTER",INFERIOR,"Generated test case exposes the bug perfectly. The difference in performance is caused by the way in which the line segments are created."
Math,8,1,2028,1,N,N,"org.apache.commons.math3.distribution$DiscreteDistribution:181 org.apache.commons.math3.distribution$DiscreteDistribution:187",,,,,,,,,,,OTHER,"No test case generated."
Math,31,2,11386,8,N,N,"org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189",,,,,,,,,,,OTHER,"No test case generated."
Math,31,3,11386,8,N,N,"org.apache.commons.math3.util$ContinuedFraction:134 org.apache.commons.math3.util$ContinuedFraction:135 org.apache.commons.math3.util$ContinuedFraction:143 org.apache.commons.math3.util$ContinuedFraction:144 org.apache.commons.math3.util$ContinuedFraction:145 org.apache.commons.math3.util$ContinuedFraction:146 org.apache.commons.math3.util$ContinuedFraction:147 org.apache.commons.math3.util$ContinuedFraction:148 org.apache.commons.math3.util$ContinuedFraction:149 org.apache.commons.math3.util$ContinuedFraction:150 org.apache.commons.math3.util$ContinuedFraction:151 org.apache.commons.math3.util$ContinuedFraction:152 org.apache.commons.math3.util$ContinuedFraction:153 org.apache.commons.math3.util$ContinuedFraction:154 org.apache.commons.math3.util$ContinuedFraction:155 org.apache.commons.math3.util$ContinuedFraction:156 org.apache.commons.math3.util$ContinuedFraction:157 org.apache.commons.math3.util$ContinuedFraction:158 org.apache.commons.math3.util$ContinuedFraction:159 org.apache.commons.math3.util$ContinuedFraction:160 org.apache.commons.math3.util$ContinuedFraction:161 org.apache.commons.math3.util$ContinuedFraction:162 org.apache.commons.math3.util$ContinuedFraction:163 org.apache.commons.math3.util$ContinuedFraction:164 org.apache.commons.math3.util$ContinuedFraction:165 org.apache.commons.math3.util$ContinuedFraction:166 org.apache.commons.math3.util$ContinuedFraction:169 org.apache.commons.math3.util$ContinuedFraction:170 org.apache.commons.math3.util$ContinuedFraction:185 org.apache.commons.math3.util$ContinuedFraction:186 org.apache.commons.math3.util$ContinuedFraction:187 org.apache.commons.math3.util$ContinuedFraction:188 org.apache.commons.math3.util$ContinuedFraction:189",,,,,,,,,,,OTHER,"No test case generated."
